DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-05-30,2004-06-05,NORDESTE,ALAGOAS,ETANOL HIDRATADO,105,R$/l,1.184,0.083,1.05,1.55,0.269,0.07,0.915,0.074,0.7441,1.0792,0.081,5,2004
2004-05-30,2004-06-05,NORDESTE,BAHIA,ETANOL HIDRATADO,422,R$/l,1.386,0.131,0.999,1.95,0.418,0.095,0.968,0.121,0.5686,1.2606,0.125,5,2004
2004-05-30,2004-06-05,NORDESTE,CEARA,ETANOL HIDRATADO,269,R$/l,1.442,0.206,1.03,1.95,0.333,0.143,1.109,0.07,0.85727,1.27,0.063,5,2004
2004-05-30,2004-06-05,NORDESTE,MARANHAO,ETANOL HIDRATADO,108,R$/l,1.62,0.166,1.299,2.0,0.547,0.102,1.073,0.102,0.9073,1.3618,0.095,5,2004
2004-05-30,2004-06-05,NORDESTE,PARAIBA,ETANOL HIDRATADO,127,R$/l,1.283,0.129,1.12,1.699,0.348,0.100999999999999,0.935,0.085,0.7577,1.2406,0.091,5,2004
2004-05-30,2004-06-05,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,425,R$/l,1.216,0.131,0.989,1.7,0.253,0.108,0.963,0.075,0.682,1.2971,0.078,5,2004
2004-05-30,2004-06-05,NORDESTE,PIAUI,ETANOL HIDRATADO,94,R$/l,1.564,0.118,1.35,1.78,0.478,0.075,1.086,0.105,0.8483,1.2565,0.097,5,2004
2004-05-30,2004-06-05,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,119,R$/l,1.285,0.111,1.07,1.599,0.316,0.086,0.969,0.081,0.7852,1.1113,0.084,5,2004
2004-05-30,2004-06-05,NORDESTE,SERGIPE,ETANOL HIDRATADO,49,R$/l,1.303,0.108,1.15,1.75,0.293,0.083,1.01,0.107,0.682,1.2347,0.106,5,2004
2004-05-30,2004-06-05,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,1.806,0.132,1.5,1.98,0.656,0.073,1.15,0.183,0.767,1.3101,0.159,5,2004
2004-05-30,2004-06-05,NORTE,AMAPA,ETANOL HIDRATADO,15,R$/l,1.786,0.034,1.75,1.85,0.357,0.019,1.429,0.07,1.3518,1.5456,0.049,5,2004
2004-05-30,2004-06-05,NORTE,AMAZONAS,ETANOL HIDRATADO,56,R$/l,1.558,0.119,1.259,1.85,0.445,0.076,1.113,0.073,0.9717,1.2384,0.066,5,2004
2004-05-30,2004-06-05,NORTE,PARA,ETANOL HIDRATADO,114,R$/l,1.898,0.246,1.29,2.4,0.567,0.13,1.331,0.208,0.7735,1.8713,0.156,5,2004
2004-05-30,2004-06-05,NORTE,RONDONIA,ETANOL HIDRATADO,96,R$/l,1.536,0.132,1.25,1.99,0.53,0.086,1.006,0.127,0.7002,1.3306,0.126,5,2004
